fechaHora,MW,MW_P
2024-08-26 00:00:00.0,1089.94,1078.1
2024-08-26 00:15:00.0,1075.71,1078.1
2024-08-26 00:30:00.0,1064.77,1078.1
2024-08-26 00:45:00.0,1036.9,1078.1
2024-08-26 01:00:00.0,1039.78,1041.89
2024-08-26 01:15:00.0,1036.52,1041.89
2024-08-26 01:30:00.0,1026.75,1041.89
2024-08-26 01:45:00.0,1015.45,1041.89
2024-08-26 02:00:00.0,1007.35,1024.0
2024-08-26 02:15:00.0,1008.86,1024.0
2024-08-26 02:30:00.0,1008.8,1024.0
2024-08-26 02:45:00.0,991.11,1024.0
2024-08-26 03:00:00.0,995.95,1040.99
2024-08-26 03:15:00.0,1008.52,1040.99
2024-08-26 03:30:00.0,1012.7,1040.99
2024-08-26 03:45:00.0,1021.31,1040.99
2024-08-26 04:00:00.0,1033.31,1126.9
2024-08-26 04:15:00.0,1078.06,1126.9
2024-08-26 04:30:00.0,1094.47,1126.9
2024-08-26 04:45:00.0,1125.52,1126.9
2024-08-26 05:00:00.0,1160.52,1287.0
2024-08-26 05:15:00.0,1235.86,1287.0
2024-08-26 05:30:00.0,1241.67,1287.0
2024-08-26 05:45:00.0,1293.49,1287.0
2024-08-26 06:00:00.0,1325.16,1407.89
2024-08-26 06:15:00.0,1397.49,1407.89
2024-08-26 06:30:00.0,1390.19,1407.89
2024-08-26 06:45:00.0,1367.1,1407.89
2024-08-26 07:00:00.0,1378.14,1479.99
2024-08-26 07:15:00.0,1426.79,1479.99
2024-08-26 07:30:00.0,1450.56,1479.99
2024-08-26 07:45:00.0,1477.01,1479.99
2024-08-26 08:00:00.0,1489.62,1584.89
2024-08-26 08:15:00.0,1515.92,1584.89
2024-08-26 08:30:00.0,1535.14,1584.89
2024-08-26 08:45:00.0,1551.18,1584.89
2024-08-26 09:00:00.0,1567.56,1663.79
2024-08-26 09:15:00.0,1589.36,1663.79
2024-08-26 09:30:00.0,1617.1,1663.79
2024-08-26 09:45:00.0,1636.08,1663.79
2024-08-26 10:00:00.0,1640.04,1726.19
2024-08-26 10:15:00.0,1662.58,1726.19
2024-08-26 10:30:00.0,1685.16,1726.19
2024-08-26 10:45:00.0,1713.13,1726.19
2024-08-26 11:00:00.0,1738.76,1804.29
2024-08-26 11:15:00.0,1768.11,1804.29
2024-08-26 11:30:00.0,1778.69,1804.29
2024-08-26 11:45:00.0,1796.25,1804.29
2024-08-26 12:00:00.0,1789.9,1793.1
2024-08-26 12:15:00.0,1776.55,1793.1
2024-08-26 12:30:00.0,1753.4,1793.1
2024-08-26 12:45:00.0,1749.09,1793.1
2024-08-26 13:00:00.0,1740.98,1791.6
2024-08-26 13:15:00.0,1758.39,1791.6
2024-08-26 13:30:00.0,1752.07,1791.6
2024-08-26 13:45:00.0,1748.17,1791.6
2024-08-26 14:00:00.0,1744.04,1770.4
2024-08-26 14:15:00.0,1743.49,1770.4
2024-08-26 14:30:00.0,1743.12,1770.4
2024-08-26 14:45:00.0,1737.35,1770.4
2024-08-26 15:00:00.0,1729.97,1750.31
2024-08-26 15:15:00.0,1718.84,1750.31
2024-08-26 15:30:00.0,1714.88,1750.31
2024-08-26 15:45:00.0,1710.7,1750.31
2024-08-26 16:00:00.0,1691.61,1703.3
2024-08-26 16:15:00.0,1667.52,1703.3
2024-08-26 16:30:00.0,1663.54,1703.3
2024-08-26 16:45:00.0,1666.06,1703.3
2024-08-26 17:00:00.0,1636.78,1657.01
2024-08-26 17:15:00.0,1634.59,1657.01
2024-08-26 17:30:00.0,1631.0,1657.01
2024-08-26 17:45:00.0,1661.89,1657.01
2024-08-26 18:00:00.0,1708.91,1767.12
2024-08-26 18:15:00.0,1723.35,1767.12
2024-08-26 18:30:00.0,1735.05,1767.12
2024-08-26 18:45:00.0,1731.97,1767.12
2024-08-26 19:00:00.0,1723.94,1734.32
2024-08-26 19:15:00.0,1705.04,1734.32
2024-08-26 19:30:00.0,1678.02,1734.32
2024-08-26 19:45:00.0,1654.59,1734.32
2024-08-26 20:00:00.0,1628.87,1660.81
2024-08-26 20:15:00.0,1621.25,1660.81
2024-08-26 20:30:00.0,1590.14,1660.81
2024-08-26 20:45:00.0,1568.69,1660.81
2024-08-26 21:00:00.0,1536.1,1517.21
2024-08-26 21:15:00.0,1498.7,1517.21
2024-08-26 21:30:00.0,1460.82,1517.21
2024-08-26 21:45:00.0,1415.5,1517.21
2024-08-26 22:00:00.0,1369.65,1363.91
2024-08-26 22:15:00.0,1324.34,1363.91
2024-08-26 22:30:00.0,1300.39,1363.91
2024-08-26 22:45:00.0,1268.64,1363.91
2024-08-26 23:00:00.0,1237.64,1245.3
2024-08-26 23:15:00.0,1219.93,1245.3
2024-08-26 23:30:00.0,1197.8,1245.3
2024-08-26 23:45:00.0,1184.67,1245.3
2024-08-27 00:00:00.0,1152.64,1154.01
2024-08-27 00:15:00.0,1137.19,1154.01
2024-08-27 00:30:00.0,1114.71,1154.01
2024-08-27 00:45:00.0,1096.22,1154.01
2024-08-27 01:00:00.0,1095.93,1111.71
2024-08-27 01:15:00.0,1093.96,1111.71
2024-08-27 01:30:00.0,1072.52,1111.71
2024-08-27 01:45:00.0,1063.3,1111.71
2024-08-27 02:00:00.0,1063.91,1087.52
2024-08-27 02:15:00.0,1061.62,1087.52
2024-08-27 02:30:00.0,1054.06,1087.52
2024-08-27 02:45:00.0,1052.69,1087.52
2024-08-27 03:00:00.0,1051.19,1099.21
2024-08-27 03:15:00.0,1065.42,1099.21
2024-08-27 03:30:00.0,1071.81,1099.21
2024-08-27 03:45:00.0,1084.88,1099.21
2024-08-27 04:00:00.0,1093.75,1181.31
2024-08-27 04:15:00.0,1134.54,1181.31
2024-08-27 04:30:00.0,1158.45,1181.31
2024-08-27 04:45:00.0,1183.33,1181.31
2024-08-27 05:00:00.0,1212.49,1347.01
2024-08-27 05:15:00.0,1300.76,1347.01
2024-08-27 05:30:00.0,1308.8,1347.01
2024-08-27 05:45:00.0,1354.07,1347.01
2024-08-27 06:00:00.0,1382.29,1451.0
2024-08-27 06:15:00.0,1441.25,1451.0
2024-08-27 06:30:00.0,1422.68,1451.0
2024-08-27 06:45:00.0,1414.08,1451.0
2024-08-27 07:00:00.0,1406.78,1498.3
2024-08-27 07:15:00.0,1456.01,1498.3
2024-08-27 07:30:00.0,1475.72,1498.3
2024-08-27 07:45:00.0,1508.7,1498.3
2024-08-27 08:00:00.0,1504.35,1580.09
2024-08-27 08:15:00.0,1529.4,1580.09
2024-08-27 08:30:00.0,1552.59,1580.09
2024-08-27 08:45:00.0,1575.0,1580.09
2024-08-27 09:00:00.0,1569.27,1651.71
2024-08-27 09:15:00.0,1592.02,1651.71
2024-08-27 09:30:00.0,1615.58,1651.71
2024-08-27 09:45:00.0,1628.85,1651.71
2024-08-27 10:00:00.0,1631.23,1709.21
2024-08-27 10:15:00.0,1639.0,1709.21
2024-08-27 10:30:00.0,1656.21,1709.21
2024-08-27 10:45:00.0,1680.02,1709.21
2024-08-27 11:00:00.0,1712.8,1783.51
2024-08-27 11:15:00.0,1728.26,1783.51
2024-08-27 11:30:00.0,1745.42,1783.51
2024-08-27 11:45:00.0,1746.14,1783.51
2024-08-27 12:00:00.0,1755.53,1779.42
2024-08-27 12:15:00.0,1740.26,1779.42
2024-08-27 12:30:00.0,1723.6,1779.42
2024-08-27 12:45:00.0,1737.46,1779.42
2024-08-27 13:00:00.0,1737.03,1779.11
2024-08-27 13:15:00.0,1751.54,1779.11
2024-08-27 13:30:00.0,1747.93,1779.11
2024-08-27 13:45:00.0,1745.46,1779.11
2024-08-27 14:00:00.0,1731.89,1752.61
2024-08-27 14:15:00.0,1727.85,1752.61
2024-08-27 14:30:00.0,1734.61,1752.61
2024-08-27 14:45:00.0,1732.58,1752.61
2024-08-27 15:00:00.0,1717.62,1698.6
2024-08-27 15:15:00.0,1711.08,1698.6
2024-08-27 15:30:00.0,1710.35,1698.6
2024-08-27 15:45:00.0,1706.56,1698.6
2024-08-27 16:00:00.0,1703.88,1658.6
2024-08-27 16:15:00.0,1701.92,1658.6
2024-08-27 16:30:00.0,1676.44,1658.6
2024-08-27 16:45:00.0,1679.78,1658.6
2024-08-27 17:00:00.0,1660.88,1624.91
2024-08-27 17:15:00.0,1655.87,1624.91
2024-08-27 17:30:00.0,1635.62,1624.91
2024-08-27 17:45:00.0,1657.05,1624.91
2024-08-27 18:00:00.0,1705.06,1724.6
2024-08-27 18:15:00.0,1746.96,1724.6
2024-08-27 18:30:00.0,1770.82,1724.6
2024-08-27 18:45:00.0,1766.76,1724.6
2024-08-27 19:00:00.0,1756.75,1690.0
2024-08-27 19:15:00.0,1739.06,1690.0
2024-08-27 19:30:00.0,1717.81,1690.0
2024-08-27 19:45:00.0,1703.03,1690.0
2024-08-27 20:00:00.0,1677.05,1621.79
2024-08-27 20:15:00.0,1675.13,1621.79
2024-08-27 20:30:00.0,1654.22,1621.79
2024-08-27 20:45:00.0,1626.68,1621.79
2024-08-27 21:00:00.0,1591.8,1513.09
2024-08-27 21:15:00.0,1555.04,1513.09
2024-08-27 21:30:00.0,1517.24,1513.09
2024-08-27 21:45:00.0,1475.57,1513.09
2024-08-27 22:00:00.0,1431.07,1369.41
2024-08-27 22:15:00.0,1386.11,1369.41
2024-08-27 22:30:00.0,1354.56,1369.41
2024-08-27 22:45:00.0,1325.53,1369.41
2024-08-27 23:00:00.0,1292.71,1250.21
2024-08-27 23:15:00.0,1263.04,1250.21
2024-08-27 23:30:00.0,1231.49,1250.21
2024-08-27 23:45:00.0,1205.96,1250.21
2024-08-28 00:00:00.0,1186.16,1126.9
2024-08-28 00:15:00.0,1174.87,1126.9
2024-08-28 00:30:00.0,1154.34,1126.9
2024-08-28 00:45:00.0,1138.89,1126.9
2024-08-28 01:00:00.0,1130.3,1082.3
2024-08-28 01:15:00.0,1122.86,1082.3
2024-08-28 01:30:00.0,1114.7,1082.3
2024-08-28 01:45:00.0,1099.91,1082.3
2024-08-28 02:00:00.0,1101.34,1063.0
2024-08-28 02:15:00.0,1097.12,1063.0
2024-08-28 02:30:00.0,1099.48,1063.0
2024-08-28 02:45:00.0,1091.84,1063.0
2024-08-28 03:00:00.0,1087.18,1078.1
2024-08-28 03:15:00.0,1098.61,1078.1
2024-08-28 03:30:00.0,1099.26,1078.1
2024-08-28 03:45:00.0,1108.22,1078.1
2024-08-28 04:00:00.0,1118.7,1162.31
2024-08-28 04:15:00.0,1162.04,1162.31
2024-08-28 04:30:00.0,1180.06,1162.31
2024-08-28 04:45:00.0,1206.66,1162.31
2024-08-28 05:00:00.0,1231.81,1326.71
2024-08-28 05:15:00.0,1280.35,1326.71
2024-08-28 05:30:00.0,1296.4,1326.71
2024-08-28 05:45:00.0,1333.94,1326.71
2024-08-28 06:00:00.0,1346.03,1424.01
2024-08-28 06:15:00.0,1430.85,1424.01
2024-08-28 06:30:00.0,1413.76,1424.01
2024-08-28 06:45:00.0,1421.33,1424.01
2024-08-28 07:00:00.0,1432.51,1476.01
2024-08-28 07:15:00.0,1474.73,1476.01
2024-08-28 07:30:00.0,1485.65,1476.01
2024-08-28 07:45:00.0,1517.58,1476.01
2024-08-28 08:00:00.0,1537.71,1555.5
2024-08-28 08:15:00.0,1559.68,1555.5
2024-08-28 08:30:00.0,1587.93,1555.5
2024-08-28 08:45:00.0,1605.82,1555.5
2024-08-28 09:00:00.0,1619.22,1618.42
2024-08-28 09:15:00.0,1643.82,1618.42
2024-08-28 09:30:00.0,1664.21,1618.42
2024-08-28 09:45:00.0,1679.64,1618.42
2024-08-28 10:00:00.0,1692.76,1694.22
2024-08-28 10:15:00.0,1700.38,1694.22
2024-08-28 10:30:00.0,1723.23,1694.22
2024-08-28 10:45:00.0,1752.46,1694.22
2024-08-28 11:00:00.0,1769.98,1788.21
2024-08-28 11:15:00.0,1806.33,1788.21
2024-08-28 11:30:00.0,1818.98,1788.21
2024-08-28 11:45:00.0,1824.36,1788.21
2024-08-28 12:00:00.0,1830.39,1774.21
2024-08-28 12:15:00.0,1816.87,1774.21
2024-08-28 12:30:00.0,1814.93,1774.21
2024-08-28 12:45:00.0,1806.03,1774.21
2024-08-28 13:00:00.0,1801.11,1757.8
2024-08-28 13:15:00.0,1804.72,1757.8
2024-08-28 13:30:00.0,1803.82,1757.8
2024-08-28 13:45:00.0,1791.3,1757.8
2024-08-28 14:00:00.0,1786.41,1747.41
2024-08-28 14:15:00.0,1788.9,1747.41
2024-08-28 14:30:00.0,1783.84,1747.41
2024-08-28 14:45:00.0,1789.87,1747.41
2024-08-28 15:00:00.0,1780.51,1717.91
2024-08-28 15:15:00.0,1778.09,1717.91
2024-08-28 15:30:00.0,1786.67,1717.91
2024-08-28 15:45:00.0,1778.18,1717.91
2024-08-28 16:00:00.0,1767.93,1670.02
2024-08-28 16:15:00.0,1748.46,1670.02
2024-08-28 16:30:00.0,1737.68,1670.02
2024-08-28 16:45:00.0,1732.35,1670.02
2024-08-28 17:00:00.0,1695.24,1654.13
2024-08-28 17:15:00.0,1693.62,1654.13
2024-08-28 17:30:00.0,1672.75,1654.13
2024-08-28 17:45:00.0,1689.92,1654.13
2024-08-28 18:00:00.0,1727.93,1734.32
2024-08-28 18:15:00.0,1801.6,1734.32
2024-08-28 18:30:00.0,1825.07,1734.32
2024-08-28 18:45:00.0,1827.4,1734.32
2024-08-28 19:00:00.0,1816.01,1683.91
2024-08-28 19:15:00.0,1802.23,1683.91
2024-08-28 19:30:00.0,1773.29,1683.91
2024-08-28 19:45:00.0,1759.28,1683.91
2024-08-28 20:00:00.0,1730.3,1598.9
2024-08-28 20:15:00.0,1725.03,1598.9
2024-08-28 20:30:00.0,1707.91,1598.9
2024-08-28 20:45:00.0,1672.78,1598.9
2024-08-28 21:00:00.0,1646.94,1463.09
2024-08-28 21:15:00.0,1596.9,1463.09
2024-08-28 21:30:00.0,1558.18,1463.09
2024-08-28 21:45:00.0,1525.54,1463.09
2024-08-28 22:00:00.0,1478.84,1306.19
2024-08-28 22:15:00.0,1437.07,1306.19
2024-08-28 22:30:00.0,1402.76,1306.19
2024-08-28 22:45:00.0,1367.64,1306.19
2024-08-28 23:00:00.0,1331.83,1199.0
2024-08-28 23:15:00.0,1306.44,1199.0
2024-08-28 23:30:00.0,1283.02,1199.0
2024-08-28 23:45:00.0,1255.16,1199.0
2024-08-29 00:00:00.0,1231.98,1162.31
2024-08-29 00:15:00.0,1214.86,1162.31
2024-08-29 00:30:00.0,1193.89,1162.31
2024-08-29 00:45:00.0,1185.03,1162.31
2024-08-29 01:00:00.0,1177.6,1121.31
2024-08-29 01:15:00.0,1167.9,1121.31
2024-08-29 01:30:00.0,1150.74,1121.31
2024-08-29 01:45:00.0,1149.6,1121.31
2024-08-29 02:00:00.0,1134.6,1102.11
2024-08-29 02:15:00.0,1131.38,1102.11
2024-08-29 02:30:00.0,1124.27,1102.11
2024-08-29 02:45:00.0,1119.38,1102.11
2024-08-29 03:00:00.0,1124.82,1109.01
2024-08-29 03:15:00.0,1124.46,1109.01
2024-08-29 03:30:00.0,1129.76,1109.01
2024-08-29 03:45:00.0,1141.3,1109.01
2024-08-29 04:00:00.0,1159.0,1187.2
2024-08-29 04:15:00.0,1197.95,1187.2
2024-08-29 04:30:00.0,1205.31,1187.2
2024-08-29 04:45:00.0,1237.37,1187.2
2024-08-29 05:00:00.0,1257.99,1309.1
2024-08-29 05:15:00.0,1320.33,1309.1
2024-08-29 05:30:00.0,1318.55,1309.1
2024-08-29 05:45:00.0,1353.41,1309.1
2024-08-29 06:00:00.0,1371.1,1422.1
2024-08-29 06:15:00.0,1452.74,1422.1
2024-08-29 06:30:00.0,1457.58,1422.1
2024-08-29 06:45:00.0,1468.12,1422.1
2024-08-29 07:00:00.0,1468.42,1500.7
2024-08-29 07:15:00.0,1527.07,1500.7
2024-08-29 07:30:00.0,1547.87,1500.7
2024-08-29 07:45:00.0,1556.98,1500.7
2024-08-29 08:00:00.0,1578.39,1590.91
2024-08-29 08:15:00.0,1601.6,1590.91
2024-08-29 08:30:00.0,1614.01,1590.91
2024-08-29 08:45:00.0,1640.9,1590.91
2024-08-29 09:00:00.0,1642.3,1665.8
2024-08-29 09:15:00.0,1670.96,1665.8
2024-08-29 09:30:00.0,1692.85,1665.8
2024-08-29 09:45:00.0,1702.07,1665.8
2024-08-29 10:00:00.0,1709.42,1734.3
2024-08-29 10:15:00.0,1731.64,1734.3
2024-08-29 10:30:00.0,1751.77,1734.3
2024-08-29 10:45:00.0,1772.79,1734.3
2024-08-29 11:00:00.0,1788.59,1818.59
2024-08-29 11:15:00.0,1809.69,1818.59
2024-08-29 11:30:00.0,1825.94,1818.59
2024-08-29 11:45:00.0,1847.18,1818.59
2024-08-29 12:00:00.0,1845.53,1819.59
2024-08-29 12:15:00.0,1830.66,1819.59
2024-08-29 12:30:00.0,1817.37,1819.59
2024-08-29 12:45:00.0,1818.61,1819.59
2024-08-29 13:00:00.0,1823.3,1808.1
2024-08-29 13:15:00.0,1838.9,1808.1
2024-08-29 13:30:00.0,1828.29,1808.1
2024-08-29 13:45:00.0,1822.98,1808.1
2024-08-29 14:00:00.0,1806.47,1794.02
2024-08-29 14:15:00.0,1812.36,1794.02
2024-08-29 14:30:00.0,1809.98,1794.02
2024-08-29 14:45:00.0,1812.27,1794.02
2024-08-29 15:00:00.0,1797.88,1719.13
2024-08-29 15:15:00.0,1780.62,1719.13
2024-08-29 15:30:00.0,1788.14,1719.13
2024-08-29 15:45:00.0,1783.49,1719.13
2024-08-29 16:00:00.0,1762.94,1693.13
2024-08-29 16:15:00.0,1754.49,1693.13
2024-08-29 16:30:00.0,1746.17,1693.13
2024-08-29 16:45:00.0,1737.22,1693.13
2024-08-29 17:00:00.0,1702.49,1660.8
2024-08-29 17:15:00.0,1704.3,1660.8
2024-08-29 17:30:00.0,1685.9,1660.8
2024-08-29 17:45:00.0,1715.05,1660.8
2024-08-29 18:00:00.0,1772.07,1757.09
